Α.Φ.Μ.,Στοιχεία Οφειλέτη,Διεύθυνση Έδρας,"Τ.Κ., Περιοχή","Βασική οφειλή Δ.Ο.Υ.,Ελεγκτικά Κέντρα",Βασική οφειλή Τελωνείων,Συνεισπραττόμενα Δημοσίου,Σύνολο Δημοσίου,Βασική οφειλή e-Ε.Φ.Κ.Α.,Συνεισπραττόμενα e-Ε.Φ.Κ.Α.,Σύνολο e-Ε.Φ.Κ.Α.,Παρατηρήσεις
097104513,ΜΑΡΙΑ Σ,ΒΑΣ ΚΩΝΣΤΑΝΤΙΝΟΥ 83,18345 ΜΟΣΧΑΤΟ,"396.174,39",-,"906.110,86","1.302.285,25",-,-,-,.
800116115,ΣΤΕΠΑ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΒΙΟΤΕΧΝΙΚΗ ΕΙΣΑΓΩΓΙΚΗ ΕΞΑΓΩΓΙΚΗ ΕΤΑΙΡΙΑ,ΝΙΚΗΣΙΑΝΗ 0,64001 ΝΙΚΗΣΙΑΝΗ,"601.315,82",-,"296.683,20","897.999,02","178.649,25","225.571,72","404.220,97",.
094009240,ΜΑΡΟΥΣΗΣ Κ,ΠΑΝΕΠΙΣΤΗΜΙΟΥ 62,10677 ΑΘΗΝΑ,"429.099,54",-,"873.059,40","1.302.158,94",-,-,-,.
096010074,Α Σ ΦΥΤΕΙΑΣ,ΠΑΤΡΙΔΑ 0,59100 ΒΕΡΟΙΑ,"433.830,40",-,"867.346,59","1.301.176,99",-,-,-,.
094422595,ΑΧΑΡΝΑΙΚΗ ΠΟΤΟΠΟΙΙΑ ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΙΚΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ  ΑΕΒΕ  ΧΗΜΙΚΩΝ ΠΡΟΙΟΝΤΩΝ   ΚΑΛΛΥΝΤΙΚΩΝ,ΤΑΤΟΙΟΥ 170,13671 ΑΧΑΡΝΕΣ,"529,39","431.177,54","869.129,41","1.300.836,34",-,-,-,.
095603957,ΕΝΑΔ ΕΠΙΠΛΑ ΥΦΑΣΜΑΤΑ ΔΩΡΑ ΕΜΠΟΡΙΚΗ ΕΠΕ,ΚΗΦΙΣΣΙΑΣ 226,15231 ΧΑΛΑΝΔΡΙ,"276.214,43",-,"324.350,26","600.564,69","307.185,10","392.899,68","700.084,78",.
800607322,DOMINUS SERVICES ΜΟΝΟΠΡΟΣΩΠΗ  Ι Κ Ε,Α ΠΑΠΑΝΔΡΕΟΥ 8,19300 ΑΣΠΡΟΠΥΡΓΟΣ,"441.282,39",-,"137.773,97","579.056,36","503.123,08","218.338,62","721.461,70",.
094366810,ΑΓΡΟΤΙΚΗ ΕΞΑΓΩΓΙΚΗ ΑΕ,ΔΙΟΜΗΔΕΙΑ 0,67100 ΞΑΝΘΗ,"431.679,98",-,"868.607,52","1.300.287,50",-,-,-,.
092390524,ΑΛΕΞΙΟΥ ΛΑΜΠΡΟΣ ΚΑΙ ΣΙΑ ΟΕ,ΘΕΣΗ ΝΤΡΑΣΑΡΙΑ 0,19300 ΑΣΠΡΟΠΥΡΓΟΣ,"540.160,33",-,"760.106,42","1.300.266,75",-,-,-,.
800510794,Κ ΚΑΙ Ο ΣΥΜΒΟΥΛΕΥΤΙΚΕΣ ΥΠΗΡΕΣΙΕΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,Λ ΜΕΣΟΓΕΙΩΝ 400,15342 ΑΓ ΠΑΡΑΣΚΕΥΗ,"940.959,34",-,"359.048,33","1.300.007,67",-,-,-,.
