A.F.M.,Stoixeia Ofeileti,Dieythynsi Edras,"T.K., Perioxi","Basiki ofeili D.O.Y.,Elegktika Kentra",Basiki ofeili Teloneion,Syneisprattomena Dimosiou,Synolo Dimosiou,Basiki ofeili e-E.F.K.A.,Syneisprattomena e-E.F.K.A.,Synolo e-E.F.K.A.,Paratiriseis,Syntetagmenes
94293180,AGMAR MARINE ΑΝΩΝΥΜΗ ΤΕΧΝΙΚΗ ΕΜΠΟΡΙΚΗ ΤΟΥΡΙΣΤΙΚΗ ΒΙΟΤΕΧΝΙΚΗ ΕΤΑΙΡΕΙΑ,ΠΑΡΘΕΝΙ 0,85400 ΛΕΡΟΣ,"665.092,91",-,"328.702,11","993.795,02","266.262,50","110.511,13","376.773,63",.,"(37.1896447, 26.8085392)"
94129772,Θ ΚΙΑΚΥΡΟΠΟΥΛΟΣ Α ΜΑΓΙΑΝΝΗΣ ΑΕ,Π ΜΕΛΑ 6,65302 ΚΑΒΑΛΑ,"397.675,57",-,"972.713,94","1.370.389,51",-,-,-,.,"(40.9372771, 24.4106596)"
998254936,ΑΝΤΩΝΙΟΣ ΗΛΙΑΔΗΣ ΜΟΝΟΠΡΟΣΩΠΗ,ΕΛ ΒΕΝΙΖΕΛΟΥ 196,17673 ΚΑΛΛΙΘΕΑ,-,-,-,-,"582.202,58","788.004,26","1.370.206,84",.,"(37.9532682, 23.6976919)"
94128401,ΒΙΝΟΧΥΜ ΑΝΩΝΥΜΗ ΓΕΩΡΓΙΚΗ ΒΙΟΜΗΧΑΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,ΧΙΛΙΟΜΟΔΙ 0,20008 ΧΙΛΙΟΜΟΔΙ,"931.533,98",-,"437.802,50","1.369.336,48",-,-,-,.,"(37.8116578, 22.869699)"
81684508,Χ ΖΑΧΑΡΟΠΟΥΛΟΣ Δ ΣΙΤΑΡΑΣ ΚΑΙ ΣΙΑ ΑΝΩΝΥΜΗ ΕΚΤΥΠΩΤΙΚΗ ΕΤΑΙΡΕΙΑ,ΛΕΥΚΑΔΟΣ 9,18346 ΜΟΣΧΑΤΟ,"301.808,59",-,"216.341,24","518.149,83","435.684,53","415.467,18","851.151,71",.,"(37.9623479, 23.6933195)"
94254675,ΚΡΕΑΤΕΜΠΟΡΙΚΗ ΠΕΤΡΑΛΩΝΩΝ ΑΛΑΦΟΥΖΟΣ ΑΕ ΕΜΠΟΡΙΑ ΚΡΕΑΤΩΝ ΚΑΙ ΕΙΔΩΝ ΔΙΑΤΡΟΦΗΣ ΣΟΥΠΕΡ ΜΑΡΚΕΤ,ΙΒΗΡΩΝ 7-9,11251 ΑΘΗΝΑ,"200.613,33",-,"400.741,03","601.354,36","267.162,47","499.842,32","767.004,79",.,"(38.0047751, 23.7312304)"
94389698,ΚΕΚΕΛΙΑΔΗΣ ΑΕ,ΔΡΑΜΙΑ ΑΠΟΚΟΡΩΝΟΥ 0,73007 ΒΡΥΣΕΣ,"482.012,71",-,"886.235,89","1.368.248,60",-,-,-,.,"(35.3457833, 24.3117428)"
99977290,ΙΝΤΖΙΑΔΗΣ Σ  ΤΥΜΠΑΝΙΔΟΥ Μ ΟΕ,ΒΙΠΕΘ Β ΕΙΣΟΔΟΣ 0,57022 ΒΙΠΕΘ ΣΙΝΔΟΣ,-,-,-,-,"548.844,84","819.123,91","1.367.968,75",.,"(40.6819212, 22.8048858)"
91003186,ΕΡΒΕΧΡΩΜ ΕΠΕ ΣΙΑ,Ι ΡΑΛΛΗ 2,18233 ΑΓ Ι ΡΕΝΤΗΣ,"455.772,81",-,"911.538,45","1.367.311,26",-,-,-,.,"(37.9610377, 23.6598)"
95093719,CINEMAGIC ΕΠΕ,ΧΑΛΚΟΚΟΝΔΥΛΗ 25,10432 ΑΘΗΝΑ,"280.694,85",-,"557.191,03","837.885,88","182.874,98","346.529,80","529.404,78",.,"(37.9860568, 23.7280931)"
